HEI,role,betweenness,closeness,degree,diversity,eccentricity,pagerank,personalized_pagerank,strength
A__BADEN01,1,206.45929901827603,0.39011641720123547,32.0,1.0,6.0,0.00015634444756283314,0.00015634444756282309,32.0
B__ANTWERP59,0,15896.357944233723,0.4560477711428968,242.0,1.0,5.0,0.0007697536894979068,0.0007697536894978816,242.0
D__BREMEN01,0,20973.832220855893,0.48110167008496924,472.0,1.0,5.0,0.0011691164033476894,0.0011691164033476502,472.0
D__POTSDAM01,0,12289.711971830478,0.4710945345000717,403.0,1.0,6.0,0.0010623959791849207,0.0010623959791848832,403.0
E__LAS-PAL01,0,61628.83868825045,0.4789266443050897,624.0,1.0,6.0,0.0017641609925775946,0.0017641609925775732,624.0
E__SEVILLA01,0,128479.48107534871,0.5124044312685286,1020.0,1.0,5.0,0.0027621146349643064,0.002762114634964275,1020.0
IRLDUBLIN07,1,354.31823309145807,0.38905342968842554,54.0,1.0,6.0,0.00022681893838248998,0.0002268189383824743,54.0
IRLDUBLIN10,2,66.51996023170638,0.3663134411600669,19.0,1.0,6.0,9.532267739968803e-05,9.532267739968477e-05,19.0
LUXLUX-VIL01,0,13537.284615054445,0.4753220437111015,425.0,1.0,5.0,0.0006499877606870643,0.0006499877606870455,425.0
NL_S-GRAVE37,0,15785.764762164323,0.46194964129976085,335.0,1.0,5.0,0.0012544161048831486,0.0012544161048831254,335.0
N__PORSGRU01,1,4523.701051881857,0.43687641346281764,110.0,1.0,6.0,0.000502920293164838,0.0005029202931648351,110.0
SF_TURKU01,0,10707.939076768385,0.47279009501871583,438.0,1.0,5.0,0.0011788083470090414,0.0011788083470090497,438.0
S__UMEA01,0,17213.241176257256,0.47484094852515907,402.0,1.0,5.0,0.001334124871727708,0.0013341248717276951,402.0
UK_MANCHES04,0,7700.4909172726,0.45535219079312256,281.0,1.0,6.0,0.0010794793363971275,0.001079479336397127,281.0
A__DORNBIR01,0,2783.437537442063,0.4323897300855826,119.0,1.0,6.0,0.00038218894569045004,0.0003821889456904128,119.0
B__GEEL07,0,9831.340635364293,0.4448658900027093,149.0,1.0,6.0,0.0005041562778653646,0.0005041562778653512,149.0
B__HASSELT21,1,4098.887425466334,0.4292249379166122,82.0,1.0,5.0,0.00030856839612369033,0.00030856839612367217,82.0
B__KORTRIJ01,0,19246.430884518915,0.45585785674625207,250.0,1.0,5.0,0.0007038741018611286,0.0007038741018611206,250.0
B__LIEGE01,0,30879.445577361337,0.4941318086066807,636.0,1.0,5.0,0.001687644925563933,0.0016876449255639383,636.0
CH_ST.GALL08,0,1361.3685994703417,0.4246734773050563,109.0,1.0,5.0,0.0003477950348672131,0.00034779503486722204,109.0
CY_NICOSIA24,0,3467.279566856478,0.42793849361480324,116.0,1.0,5.0,0.0005566467230428291,0.000556646723042832,116.0
CZ_BRNO01,0,34955.77017429333,0.48336767736237857,487.0,1.0,5.0,0.0010696965114462018,0.0010696965114461957,487.0
DK_KOBENHA14,0,2190.280300893184,0.44015547513738107,143.0,1.0,6.0,0.000671962303223785,0.0006719623032237739,143.0
DK_KOBENHA55,0,16952.439619832014,0.4468027210884354,177.0,1.0,6.0,0.0008246327490061904,0.000824632749006183,177.0
DK_KOLDING10,3,6709.259197161447,0.414960828910791,78.0,1.0,6.0,0.00036780076364358125,0.00036780076364357274,78.0
D__BERLIN05,1,1135.0664458712927,0.4301244269810085,82.0,1.0,6.0,0.0003900918701318817,0.0003900918701318811,82.0
D__BRANDEN01,1,227.36254410659566,0.4110652146701715,51.0,1.0,6.0,0.00017034392212123236,0.00017034392212122312,51.0
D__BREMEN03,3,5305.233701162281,0.39334051982273327,60.0,1.0,6.0,0.0003030534916318521,0.00030305349163184224,60.0
D__DUSSELD03,0,8297.998398435215,0.43594849329616353,126.0,1.0,6.0,0.0005001905696837643,0.0005001905696837408,126.0
D__KOLN04,0,16305.057029954662,0.4643008624346105,281.0,1.0,5.0,0.0008481515324153061,0.0008481515324153016,281.0
D__KONSTAN02,1,367.33551777283134,0.4040851482711948,54.0,1.0,6.0,0.0002096866820798613,0.00020968668207985752,54.0
D__RAVENSB01,1,665.776723901233,0.40473256100566923,60.0,1.0,6.0,0.00019953128380362193,0.0001995312838036187,60.0
D__SCHWA-G02,3,1007.9770037244264,0.4072420634920635,69.0,1.0,6.0,0.00032047638337161845,0.0003204763833716139,69.0
D__STUTTGA06,1,1541.9936571146716,0.43034988861223955,99.0,1.0,6.0,0.0003393618796539903,0.00033936187965397997,99.0
D__WURZBUR03,1,6942.7612140742895,0.4254988338947914,82.0,1.0,6.0,0.0002572129162205935,0.0002572129162205746,82.0
EE_TALLINN05,0,25380.2448316146,0.4774643791799942,395.0,1.0,5.0,0.0010150608353814863,0.0010150608353814707,395.0
E__ALICANT01,0,56027.79220506203,0.4922062350119904,713.0,1.0,5.0,0.002231749834329136,0.002231749834329167,713.0
E__BARCELO03,0,82557.4233385457,0.4971238268240993,800.0,1.0,5.0,0.002377522010093135,0.0023775220100931316,800.0
E__BILBAO01,0,114844.08469987147,0.5062432557422537,839.0,1.0,5.0,0.002029234224564365,0.002029234224564347,839.0
E__MADRID03,0,198371.81293404975,0.5239310784939375,1213.0,1.0,5.0,0.0035166225622038144,0.0035166225622038417,1213.0
E__VALENCI02,0,217993.63015760455,0.5214353763099396,1098.0,1.0,5.0,0.003526559525707834,0.0035265595257078035,1098.0
F__RENNES27,0,9705.669484911918,0.43040629095674965,169.0,1.0,6.0,0.0005740214141383173,0.0005740214141383057,169.0
IRLGALWAY02,1,720.7932429278713,0.417015873015873,72.0,1.0,6.0,0.0003676397842765302,0.0003676397842765373,72.0
I__PARMA01,0,14801.920987289843,0.4755285259194903,417.0,1.0,5.0,0.0009387649672866656,0.0009387649672866613,417.0
LT_VILNIUS02,0,29551.41257039707,0.47594202898550725,398.0,1.0,5.0,0.0009484850536783754,0.0009484850536783787,398.0
NL_AMSTERD05,0,24375.288177585902,0.4692098871267324,361.0,1.0,5.0,0.0012803184458110406,0.001280318445811021,361.0
NL_ARNHEM27,0,25265.595392394753,0.4600728495376856,316.0,1.0,6.0,0.0011683547757811896,0.001168354775781177,316.0
NL_EINDHOV03,0,72070.91069154452,0.4740184757505774,359.0,1.0,5.0,0.0011424800221485813,0.0011424800221485837,359.0
NL_HEERLEN14,0,23565.122927899403,0.45390463026952316,230.0,1.0,6.0,0.0008591464792351312,0.0008591464792351253,230.0
NL_VLISSIN01,3,1863.8868111897464,0.4152231634846378,82.0,1.0,5.0,0.00028489590699114936,0.0002848959069911461,82.0
N__KRISTIA01,0,7476.145875159818,0.4452277657266811,209.0,1.0,6.0,0.0007409573484195217,0.0007409573484195702,209.0
PL_GDANSK01,0,12028.931925742452,0.4714326729830606,368.0,1.0,5.0,0.0007334340362397361,0.0007334340362397271,368.0
PL_LODZ02,0,23949.274992896848,0.4720425470748886,334.0,1.0,5.0,0.0007952321719006192,0.0007952321719006024,334.0
PL_WARSZAW15,3,39.069846400016296,0.36383780190560605,15.0,1.0,6.0,8.56669071181801e-05,8.566690711817653e-05,15.0
P__LISBOA46,3,9834.760152865703,0.4135499307392016,89.0,1.0,5.0,0.00046176483481875967,0.0004617648348187591,89.0
SF_HELSINK19,1,3556.3459552158633,0.39390668106033344,53.0,1.0,6.0,0.0002024123564836601,0.0002024123564836544,53.0
SF_HELSINK41,0,33646.03529360433,0.4673402590009962,345.0,1.0,5.0,0.001207174876945209,0.0012071748769452062,345.0
SF_JYVASKY11,0,14413.843154194477,0.4535911602209945,225.0,1.0,6.0,0.0007815406903995566,0.0007815406903995596,225.0
SF_LAPPEEN01,0,3944.4645902364628,0.43670212765957445,184.0,1.0,6.0,0.0005227284826922851,0.0005227284826922703,184.0
SF_PORI08,0,11856.33172572996,0.440450643776824,168.0,1.0,6.0,0.0004908355298207877,0.0004908355298207942,168.0
SF_ROVANIE01,0,12085.763381243227,0.45598444876423216,271.0,1.0,6.0,0.0009444106294053261,0.0009444106294053544,271.0
SF_ROVANIE02,3,5000.59694527288,0.4173868835790544,82.0,1.0,5.0,0.00037576917862562934,0.0003757691786256074,82.0
SF_VANTAA06,0,20109.588866594022,0.454344216934145,228.0,1.0,5.0,0.000802818709665993,0.0008028187096659631,228.0
SI_LJUBLJA01,0,262600.7285595756,0.5408432147562582,1155.0,1.0,5.0,0.002917803879388805,0.0029178038793888387,1155.0
SK_BRATISL02,0,37118.263212007725,0.4807495242277851,492.0,1.0,5.0,0.0008723346366460492,0.0008723346366460625,492.0
S__JONKOPI01,0,10666.237938863413,0.45821124598855867,306.0,1.0,6.0,0.0010952102576010309,0.0010952102576010487,306.0
S__LINKOPI01,0,35519.20342376121,0.48529629082311215,585.0,1.0,5.0,0.0018367227080964576,0.0018367227080964806,585.0
S__VASTERA01,0,2593.736632004147,0.44686351884610154,187.0,1.0,6.0,0.0006317681357598491,0.0006317681357598978,187.0
TR_ISTANBU11,0,8814.195830846078,0.4500479649170892,284.0,1.0,6.0,0.0008833646485560345,0.0008833646485560852,284.0
TR_ISTANBU13,0,7879.652444959966,0.4353128313891835,159.0,1.0,5.0,0.0003800783372478531,0.0003800783372478647,159.0
TR_ISTANBU19,0,3837.833143604371,0.4276041666666667,136.0,1.0,6.0,0.00041385726116037296,0.00041385726116037605,136.0
UK_BRISTOL02,0,4843.89383523962,0.4321052631578947,132.0,1.0,5.0,0.0005136707806312287,0.000513670780631268,132.0
UK_CHELTEN02,1,3466.4444604365617,0.4068888613554702,55.0,1.0,6.0,0.00025663847607161844,0.00025663847607161134,55.0
UK_DEESIDE01,1,490.46470891744804,0.4152231634846378,75.0,1.0,6.0,0.00044186849408041427,0.0004418684940804307,75.0
A__EISENST01,1,6.111647059565985,0.366927374301676,11.0,1.0,6.0,7.504430950255941e-05,7.504430950255635e-05,11.0
DK_SORO02,0,3908.9486075194723,0.4360063728093468,135.0,1.0,6.0,0.0006233502247757313,0.0006233502247757583,135.0
E__VALLADO01,0,79358.21085981972,0.49719909159727477,768.0,1.0,5.0,0.0018523323257151824,0.0018523323257152392,768.0
HR_ZADAR01,1,833.1827884455279,0.41548582995951416,63.0,1.0,5.0,0.00019249648200991948,0.0001924964820099169,63.0
A__EISENST02,1,1214.0715836040672,0.42059426229508196,74.0,1.0,6.0,0.00021296805477650978,0.00021296805477650406,74.0
B__BRUSSEL05,0,12684.981251369052,0.4482664482664483,227.0,1.0,5.0,0.0006577749331696961,0.0006577749331697024,227.0
B__BRUXEL05,1,3583.760995697608,0.4187707217546544,70.0,1.0,6.0,0.00042485096746635697,0.000424850967466359,70.0
B__LEUVEN01,0,48128.21343542301,0.5071814671814672,812.0,1.0,5.0,0.0021038546281393696,0.0021038546281394815,812.0
CZ_BRNO05,0,65437.043222709726,0.5020639046017429,732.0,1.0,5.0,0.0016060149438446886,0.0016060149438447283,732.0
DK_ALBORG01,0,15964.751063602765,0.478786995188803,388.0,1.0,6.0,0.0013675316516715442,0.0013675316516716114,388.0
DK_ODENSE01,0,29297.93460802309,0.488908739020396,532.0,1.0,5.0,0.0017324400816486319,0.001732440081648748,532.0
DK_RISSKOV06,0,54085.280622479455,0.484794803661057,438.0,1.0,6.0,0.0018732944253507986,0.0018732944253507936,438.0
D__BERLIN06,0,4562.288898914367,0.4345639804155088,154.0,1.0,5.0,0.0006096801485583054,0.0006096801485583168,154.0
D__DARMSTA02,0,2881.0638650575575,0.44021447721179624,124.0,1.0,5.0,0.00032207197911419304,0.0003220719791141909,124.0
